Sno,Event ID,Description,additional _notes,sec_recommendation,link_external,link_internal
81,4702,A scheduled task was updated.,na,na,na,na
82,4657,A registry value was modified.,na,na,na,na
83,5039,A registry key was virtualized.,na,na,na,na
84,4660,An object was deleted.,na,na,na,na
85,4663,An attempt was made to access an object.,na,na,na,na
86,4715,The audit policy (SACL) on an object was changed.,na,na,na,na
87,4719,System audit policy was changed.,na,na,na,na
88,4902,The Per user audit policy table was created.,na,na,na,na
89,4906,The CrashOnAuditFail value has changed.,na,na,na,na
90,4907,Auditing settings on object were changed.,na,na,na,na
91,4706,A new trust was created to a domain.,na,na,na,na
92,4707,A trust to a domain was removed.,na,na,na,na
93,4713,Kerberos policy was changed.,na,na,na,na
94,4716,Trusted domain information was modified.,na,na,na,na
95,4717,System security access was granted to an account.,na,na,na,na
96,4718,System security access was removed from an account.,na,na,na,na
97,4864,A namespace collision was detected.,na,na,na,na
98,4865,A trusted forest information entry was added.,na,na,na,na
99,4866,A trusted forest information entry was removed.,na,na,na,na
100,4867,A trusted forest information entry was modified.,na,na,na,na
101,4704,A user right was assigned.,na,na,na,na
102,4705,A user right was removed.,na,na,na,na
103,4714,Encrypted data recovery policy was changed.,na,na,na,na
104,4944,The following policy was active when the Windows Firewall started.,na,na,na,na
105,4945,A rule was listed when the Windows Firewall started.,na,na,na,na
106,4946,A change has been made to Windows Firewall exception list. A rule was added.,na,na,na,na
107,4947,A change has been made to Windows Firewall exception list. A rule was modified.,na,na,na,na
108,4948,A change has been made to Windows Firewall exception list. A rule was deleted.,na,na,na,na
109,4949,Windows Firewall settings were restored to the default values.,na,na,na,na
110,4950,A Windows Firewall setting has changed.,na,na,na,na
111,4951,A rule has been ignored because its major version number was not recognized by Windows Firewall.,na,na,na,na
112,4952,Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall. The other parts of the rule will be enforced.,na,na,na,na
113,4953,A rule has been ignored by Windows Firewall because it could not parse the rule.,na,na,na,na
114,4954,Windows Firewall Group Policy settings have changed. The new settings have been applied.,na,na,na,na
115,4956,Windows Firewall has changed the active profile.,na,na,na,na
116,4957,Windows Firewall did not apply the following rule:,na,na,na,na
117,4958,Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer:,na,na,na,na
118,6144,Security policy in the group policy objects has been applied successfully.,na,na,na,na
119,6145,One or more errors occurred while processing security policy in the group policy objects.,na,na,na,na
120,4670,Permissions on an object were changed.,na,na,na,na
121,4672,Special privileges assigned to new logon.,na,na,na,na
122,4673,A privileged service was called.,na,na,na,na
123,4674,An operation was attempted on a privileged object.,na,na,na,na
124,5024,The Windows Firewall Service has started successfully.,na,na,na,na
125,5025,The Windows Firewall Service has been stopped.,na,na,na,na
126,5027,The Windows Firewall Service was unable to retrieve the security policy from the local storage. The service will continue enforcing the current policy.,na,na,na,na
127,5028,The Windows Firewall Service was unable to parse the new security policy. The service will continue with currently enforced policy.,na,na,na,na
128,5029,The Windows Firewall Service failed to initialize the driver. The service will continue to enforce the current policy.,na,na,na,na
129,5030,The Windows Firewall Service failed to start.,na,na,na,na
130,5032,Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network.,na,na,na,na
131,5033,The Windows Firewall Driver has started successfully.,na,na,na,na
132,5034,The Windows Firewall Driver has been stopped.,na,na,na,na
133,5035,The Windows Firewall Driver failed to start.,na,na,na,na
134,5037,The Windows Firewall Driver detected critical runtime error. Terminating.,na,na,na,na
135,4608,Windows is starting up.,na,na,na,na
136,4609,Windows is shutting down.,na,na,na,na
137,4616,The system time was changed.,na,na,na,na
138,4621,Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.,na,na,na,na
139,4697,A service was installed in the system.,na,na,na,na
140,4618,A monitored security event pattern has occurred.,na,na,na,na
